Q_ID,FACTOR,SUPER FACTOR,ITEM HEBREW,ITEM ENGLISH,REV,RANK / SCALE,TYPE, FIT HEBREW,FIT ENGLISH,ANSWER HEBREW,ANSWER ENGLISH,ANS_OPT_HEBREW,ANS_OPT_ENGLISH,AYALON,NEW PILOT,DEMO,Ayalon pre-callibration,Nike,INCLUDED
conscientiousness_10,conscientiousness,efficiency,"אני עושה דברים ""לפי הספר""",I do things by the book.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,yes,,"AYALON,EH,"
extroversion_1,extroversion,emotional intelligence,אני הרוח החיה במסיבה,I am the life of the party.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
extroversion_2r,extroversion,emotional intelligence,אני לא מדבר/ת הרבה,I don't talk a lot.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
extroversion_3,extroversion,emotional intelligence,במסיבות אני מדבר/ת עם הרבה אנשים,I talk to a lot of different people at parties.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
extroversion_4r,extroversion,emotional intelligence,אני שומר/ת על פרופיל נמוך,I keep in the background.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
extroversion_5,extroversion,emotional intelligence,לא מפריע לי להיות במרכז העניינים,"I don't mind being the center of attention.
",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,yes,,"AYALON,EH,"
extroversion_6r,extroversion,emotional intelligence,אני לא אוהב/ת למשוך תשומת לב,I don't like to draw attention to myself.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
extroversion_7r,extroversion,emotional intelligence,אני נוטה להיות שקט/ה ליד אנשים שאיני מכיר,I am quiet around strangers.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
extroversion_8r,extroversion,emotional intelligence,אני בן/ת אדם פרטי/ת ,I am a very private person.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,yes,,"AYALON,EH,"
extroversion_9r,extroversion,emotional intelligence,אני לא תמיד אומר/ת את מה שאני חושב/ת,I hold back my opinions.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,yes,,"AYALON,EH,"
extroversion_10r,extroversion,emotional intelligence,אני ביישן/ית,"I am sometimes shy, inhibited",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
openness_1,openness,learning competence,יש לי דימיון מפותח,I have a vivid imagination.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
openness_2r,openness,learning competence,"רעיונות מופשטים (לא מוחשיים,  לדוגמא: אהבה, כעס, פילוסופיה, אומנות) לא מעניינים אותי",I am not interested in abstract ideas.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
openness_3r,openness,learning competence,"קשה לי להבין רעיונות מופשטים (לא מוחשיים,  לדוגמא: אהבה, כעס, פילוסופיה, אומנות)",I have difficulty understanding abstract ideas.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
openness_4r,openness,learning competence,אין לי דימיון מפותח,I do not have a good imagination.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
openness_5,openness,learning competence,אני נהנה/ית  לשמוע רעיונות חדשים,I enjoy hearing new ideas.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=8",,,,,,
openness_6r,openness,learning competence,אני לא אוהב/ת דיונים פילוסופיים,I avoid philosophical discussions.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=9",,,,yes,,"AYALON,EH,"
openness_7r,openness,learning competence,אני לא אוהב/ת ללכת למוזיאונים,I do not enjoy going to art museums.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=10",,,,,,
openness_8,openness,learning competence,אני נהנה/ית לשבת ולחשוב,I enjoy thinking about things.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=11",,,,yes,,"AYALON,EH,"
openness_9,openness,learning competence,יש לי חברים ששונים ממני מאוד ,I have friends who are very different than me,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=12",,,,yes,,"AYALON,EH,"
neuroticism_1r,un-neuroticism,emotional regulation,יש לי שינויים תכופים במצב הרוח,I have frequent mood swings.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
neuroticism_2,un-neuroticism,emotional regulation,רוב הזמן אני רגוע/ה,I am relaxed most of the time.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
neuroticism_3r,un-neuroticism,emotional regulation,אני מתרגז/ת בקלות,I get upset easily.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
neuroticism_4,un-neuroticism,emotional regulation,אני מרגיש/ה עצוב/ה לעיתים רחוקות,I seldom feel blue.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
outcome_1,outcome driven,persistence,אני מכוון/ת ישר למטרה,I go straight for the goal.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
outcome_3,outcome driven,persistence,אני הופך/ת תוכניות למעשים,I turn plans into actions.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,,"AYALON,EH,"
outcome_4,outcome driven,persistence,אני מעמיק/ה במשימות עם כל הלב,I plunge into tasks with all my heart.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
outcome_5,outcome driven,persistence,אני עושה יותר ממה שמצופה ממני,I do more than what's expected of me.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,,"AYALON,EH,"
outcome_6,outcome driven,persistence,אני מציב/ה סטנדרטים גבוהים לעצמי ולאחרים,I set high standards for myself and others.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,,"AYALON,EH,"
outcome_7,outcome driven,persistence,אני דורש/ת איכות,I demand quality.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
outcome_8r,outcome driven,persistence,הייתי רוצה שתהיה לי יותר מוטיבציה להצליח,I would like to have more motivation to succeed.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
outcome_9r,outcome driven,persistence,אני עושה רק את מה שמספיק בשביל להסתדר,I do just enough work to get by.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
outcome_10r,outcome driven,persistence,אני משקיע/ה מעט זמן ומאמץ בעבודה שלי,I put little time and effort into my work.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
assertiveness_1,assertiveness,assertiveness,אני לוקח/ת פיקוד,I take charge.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,,"AYALON,EH,"
assertiveness_2,assertiveness,assertiveness,אני מנסה להוביל אחרים,I try to lead others.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
assertiveness_3,assertiveness,assertiveness,אני יכול/ה לשכנע אחרים לעשות דברים,I can talk others into doing things.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
assertiveness_4,assertiveness,assertiveness,אני מחפש/ת להשפיע על אחרים,I seek to influence others.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,,"AYALON,EH,"
assertiveness_5,assertiveness,assertiveness,אני לוקח/ת אחריות על דברים,I take control of things.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
assertiveness_6r,assertiveness,assertiveness,אני מחכה שאחרים יראו לי את הדרך,I wait for others to lead the way.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
assertiveness_7r,assertiveness,assertiveness,אני שומר/ת על פרופיל נמוך,I keep in the background.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
assertiveness_8r,assertiveness,assertiveness,יש לי מעט להגיד,I have little to say.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
assertiveness_9r,assertiveness,assertiveness,אני לא אוהב/ת למשוך תשומת לב לעצמי,I don't like to draw attention to myself.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
assertiveness_10r,assertiveness,assertiveness,אני בדרך כלל לא משמיע/ה את דעתי,I hold back my opinions.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
persistence_1,persistence,persistence,אני לא מפסיק/ה משימה לפני השלמתה,I גon't quit a task before it is finished.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
persistence_2,persistence,persistence,אני אדם מוכוון-מטרה,I am a goal-oriented person.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
persistence_3,persistence,persistence,אני מסיים/ת דברים למרות קשיים בדרך,I finish things despite obstacles in the way.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
persistence_4,persistence,persistence,אני עובד/ת קשה,I am a hard worker.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
persistence_5,persistence,persistence,קשה להסיח את דעתי כשאני עובד/ת,I don't get sidetracked when I work.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,,,
persistence_6r,persistence,persistence,אני לא מסיים/ת מה שהתחלתי,I don't finish what I start.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
persistence_7r,persistence,persistence,אני מוותר/ת בקלות,I give up easily.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,,,
persistence_8r,persistence,persistence,אני נוטה לא להתמיד בדברים שאני מחליט/ה לעשות,I do not tend to stick with what I decide to do.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,yes,,,,
eq_1r,emotional intelligence,emotional intelligence,לוקח לי זמן להסתגל לשינויים,I am able to fit into any situation.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_2,emotional intelligence,emotional intelligence,אני יודע/ת לגרום לאנשים להרגיש שהם מעניינים,I have the ability to make others feel interesting.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,,"AYALON,EH,"
eq_3,emotional intelligence,emotional intelligence,אני יודע/ת מה גורם לאחרים לפעול,I know what makes others tick.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_4,emotional intelligence,emotional intelligence,אני מסתדר/ת היטב עם אנשים שזה עתה הכרתי,I get along well with people I have just met.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_5,emotional intelligence,emotional intelligence,אני טוב/ה בלזהות מה אנשים מרגישים,I am good at sensing what others are feeling.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_6,emotional intelligence,emotional intelligence,אני יודע/ת מה להגיד כדי לגרום לאנשים להרגיש טוב,I know what to say to make people feel good.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,,"AYALON,EH,"
eq_7r,emotional intelligence,emotional intelligence,אני לא יודע/ת איך להתנהג כשאני במצב חברתי חדש ולא מוכר,I don't know how to handle myself in a new social situation.,yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_8,emotional intelligence,emotional intelligence,אני יודע/ת איך לנחם אחרים,I know how to comfort others.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
eq_9,emotional intelligence,emotional intelligence,אני חושב/ת על אחרים לפני עצמי,I think about others first.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_10,emotional intelligence,emotional intelligence,אני מכבד/ת רגשות של אחרים,I respect others' feelings,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_11,emotional intelligence,emotional intelligence,אני מכבד/ת דעות של אחרים,I respect the opinions of others.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_12,emotional intelligence,emotional intelligence,אני דואג/ת לרווחת אחרים,Others' well-being is of concern for me,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_13,emotional intelligence,emotional intelligence,אני מתחשב/ת בצרכי אחרים,I consider others' needs.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_14,emotional intelligence,emotional intelligence,אני מתעדפ/ת את טובתם של אחרים על פני טובתי האישית,I consider others' interests above my own.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
eq_15,emotional intelligence,emotional intelligence,אני עושה דברים על מנת לשפר את ההרגשה של אחרים,I do things to enhance the well-being of others,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
eq_16,emotional intelligence,emotional intelligence,אני מנסה לנחם אחרים כשהם מוטרדים,I try to comfort others when they are distressed,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
ocb_1,organizational citizenship behavior,organizational citizenship behavior,אני עוזר/ת לעובדים אחרים שיש להם עומס רב בעבודה,I helped others who have heavy workloads.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,,,
ocb_2,organizational citizenship behavior,organizational citizenship behavior,אני עוזר/ת למנהל/ת שלי עם העבודה שלו/ה (גם כשלא התבקשתי),I assisted my supervisor with his/her work (when not asked). ,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
ocb_3,organizational citizenship behavior,organizational citizenship behavior,"אני מתעניין/ת בעובדים אחרים (אם מעולם לא עבדת בעבר, אנא השב/י ביחס לצבא או ללימודים)",I took a personal interest in other employees. ,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,yes,yes,,"AYALON,EH,"
ocb_4,organizational citizenship behavior,organizational citizenship behavior,"הנוכחות שלי בעבודה גבוהה בהשוואה לאחרים (אם מעולם לא עבדת בעבר, אנא השב/י ביחס לצבא או ללימודים)",My attendance at work was above the norm.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,yes,,"AYALON,EH,"
ocb_5,organizational citizenship behavior,organizational citizenship behavior,אני נותן/ת התראה מוקדמת כשאין באפשרותי להגיע לעבודה,I gave advance notice when I was unable to come to work. ,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
ocb_6,organizational citizenship behavior,organizational citizenship behavior,אני שומר/ת ומגן/ה על ציוד של מקום העבודה שלי,I conserved and protected organizational property.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",yes,yes,,,,
self-efficacy_1,self-efficacy,self-efficacy,"אם אני מנסה מספיק, אני תמיד מצליח/ה לפתור בעיות קשות",I can always manage to solve difficult problems if I try hard enough.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_2,self-efficacy,self-efficacy,"אם מישהו/י מתנגד/ת לי, אני מסוגל/ת למצוא דרכים להשיג את מה שאני רוצה","If someone opposes me, I can find means and ways to get what I want.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_3,self-efficacy,self-efficacy,קל לי להיצמד למטרות שהצבתי לעצמי ולהשיג אותן,It is easy for me to stick to my aims and accomplish my goals.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_4,self-efficacy,self-efficacy,אני בטוח/ה שאני מסוגל/ת להתמודד ביעילות עם אירועים בלתי-צפויים,I am confident that I could deal efficiently with unexpected events.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_5,self-efficacy,self-efficacy,"הודות לתושייה שלי, אני יודע/ת להתמודד עם מצבים בלתי-צפויים","Thanks to my resourcefulness, I know how to handle unforeseen situations.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_6,self-efficacy,self-efficacy,אני יכול/ה לפתור את רוב הבעיות אם אני משקיע/ה את המאמץ הדרוש,I can solve most problems if I invest the necessary effort.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_7,self-efficacy,self-efficacy,אני נשאר/ת רגוע/ה כשאני מתמודד/ת עם קשיים כי אני סומך/ת על כושר ההתמודדות שלי,I can remain calm when facing difficulties because I can rely on my coping abilities.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_8,self-efficacy,self-efficacy,"כשאני מתמודד/ת עם בעיה, אני בדרך-כלל מוצא/ת לה כמה פתרונות","When I am confronted with a problem, I can usually find several solutions.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_9,self-efficacy,self-efficacy,אם אני מוכרח/ה אני יכול/ה לחשוב על משהו לעשות,"If I am in a bind, I can usually think of something to do.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_10,self-efficacy,self-efficacy,"לא משנה מה נקרה בדרכי, אני בדרך כלל מסוגל/ת להתמודד עם זה","No matter what comes my way, I'm usually able to handle it.",,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_11,self-efficacy,self-efficacy,אני משלים/ה משימות בהצלחה,I Complete tasks successfully.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_12,self-efficacy,self-efficacy,אני מבצע/ת משימות ללא תקלות,I handle tasks smoothly.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_13,self-efficacy,self-efficacy,אני יודע/ת כיצד לגרום לדברים להתבצע,I know how to get things done.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_14r,self-efficacy,self-efficacy,אני שופט/ת לא נכון מצבים,I misjudge situations.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_15r,self-efficacy,self-efficacy,אני לא מבינ/ה דברים,I don't understand things.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_16r,self-efficacy,self-efficacy,יש לי מעט לתרום,I have little to contribute.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
self-efficacy_17r,self-efficacy,self-efficacy,קשה לי להבין את ההשלכות של פעולות שלי ,I don't see the consequences of things.,,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_1r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מרגיש/ה אשם/ה על כך","When I'm upset, I feel guilty for feeling that way.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_2r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני מתבייש/ת בהרגשה הזאת","When I'm upset, I feel ashamed with myself for feeling that way.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_3r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני נבוך/ה מההרגשה הזאת","When I'm upset, I become embarrased for feeling that way.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
regulation_4r,emotional regulation,emotional regulation,"כשאני נסער/ת, אני כועס/ת על עצמי על ההרגשה הזאת","When I'm upset, I become angry with myself for feeling that way.",yes,,P,,,,,לא מסכים בכלל-מסכים מאוד,"Disagree=1, Netural=3, Agree=7",,,,,,
